
ԱԳՐԵՍԻԱ	 մեկ կամ մի քանի երկրների զինված հարձակում այլ երկրի կամ երկրների վրա նվաճողական նպատակներով: 
ԱԳՐԵՍԻԱՅԻ ԱՆԴՐԱԴԱՐՁՈՒՄ	 ագրեսորի կողմից պետության ինքնիշխանության և տարածքային ամբողջության խախտման մտադրությունների ձախողմանն ուղղված զինված ուժերի գործողությունների համալիր: 
ԱԳՐԵՍԻԱՅԻ ԿԱՆԽՈՒՄ	 պետության կողմից ոչ ռազմական ներազդման միջոցառումների հետ միասին զինված ուժերի կիրառմամբ ագրեսորի կողմից զինված հարձակման դադարեցում: 
ԱԶԱՏԱԳՐԱԿԱՆ ՊԱՏԵՐԱԶՄ	 օտարերկրյա պետության դեմ ճնշված և կախյալ ժողովուրդների ու երկրների զինված պայքարը պետական ինքնիշխանության, ազատ և ինքնուրույն տնտեսական և մշակութային զարգացման համար: 
ԱԶԴԱՆՇԱՆՆԵՐ	 հրամանատարի (պետի) կողմից հաստատված պայմանական նշաններ՝ ոչ մեծ տարածությունների վրա ենթականերին կարճ կարգադրություններ, հրամաններ և այլ տեղեկություններ հաղորդելու և ստանալու համար: 
«ԱԼԱԶԱՆ» ՏԵՍԱԿԻ ՀՐԹԻՌ	 կարկտաբեր ամպերը ցրելու համար նախատեսված հրթիռներ: Արցախյան գոյամարտի նախնական փուլում օգտագործվել են բնակավայրերը գնդակոծելու համար: Վերգետնյա նշանակետերը գնդակոծելու համար չնախատեսված «Ալազանների» պատճառած նյութական վնասը մեծ չէր, բայց խաղաղ բնակչության վրա ծանր հոգեբանական ազդեցություն էր թողնում: 
ԱԼՊԻԱԿԱՆ (ԼԵՌՆԱՅԻՆ) ՀՐԱՁԻԳՆԵՐ	 լեռնային հատուկ հանդերձանքով և սպառազինությամբ զինված և լեռներում մարտ վարելու համար մարզված զինվորներ: Ա(Լ)Հ առաջին ստորաբաժանումներն ի հայտ են եկել XVIII դ. վերջին՝ Ֆրանսիայում, սակայն տարածում են ստացել XIX դ. կեսից: 
ԱԼԵՀԱՎԱՔ	 ռադիոալիքներ հաղորդելու և ընդունելու համար նախատեսված սարք: 
ԱԿԱՆ	 1. (պատմ.), պարսպի (պատի) տակ փորվող անցք՝ գաղտնի կամ բռնի ներս խուժելու համար: 2. (ռազմ.) ինժեներական զինամթերք, պայթուցիկ լիցքով սարք: Գործողության մեջ է դրվում շփման, ճնշման, ձայնային ալիքների, մագնիսական ուժի շնորհիվ: Նախատեսված է հարվածային ալիքով և իր մասերի կինետիկ էներգիայով շինությունների, տեխնիկայի, կենդանի ուժի ոչնչացման համար: Լայն տարածում ունի: Կիրառվել է վերջին հարյուրամյակի բոլոր պատերազմներում: 3. Չպտտվող փետրավոր արկ` ականանետներից հրաձգություն վարելու համար: Ըստ իրանի կառուցվածքի` ականները լինում են կաթիլաձև և գլանաձև կամ էլ արկանման: Ըստ իրենց մարտական նշանակության և գործողության` ականների դասակարգումը համապատասխանում է հրետանային արկերի նշանակությանն ու գործողությանը: 4. Ջրի հատակը նետված կամ որոշ խորության մեջ լողացող արկ՝ հակառակորդի նավերը պայթեցնելու համար: Լայնորեն կիրառվել է երկու համաշխարհային պատերազմների ընթացքում: 
ԱԿԱՆԱԴԱՇՏ	 տեղանքի հատված, որտեղ որոշակի օրինաչափությամբ ականներ են տեղադրված: Ըստ նշանակության` Ա. լինում են. հակատանկային, հակահետևակային, հակադեսանտային և խառը: Ըստ գործարկման բնույթի լինում են չկառավարվող և կառավարվող: 
ԱԿԱՆԱԶԵՐԾՈՒՄ	 ականների, լիցքերի, չպայթած զինամթերքների, պայթյունավտանգ սարքերի հետախուզում, կորզում կամ ոչնչացում և դրանցից տեղանքի, շինությունների և այլ օբյեկտների մաքրում: Մարտի ինժեներական ապահովման հիմնական միջոցառումներից է: 
