ԱԴՐԱՏԳԱՀ	— նախաճաշի ժամանակ
ԱԳՈՒԲԵ	— խուրջին է պայուսակ
ԱԶԱՊ	— չամուսնացած տղա, աղջիկ
ԱԶՐԱՅԵԼ	— հոգեառ հրեշտակ
ԱԶՆԱՎՈՒՐ	— ազնվական, ազնիվ, հսկա
ԱԺԴԱՀԱՐ	— աժդահա, վիթխարի
ԱԿԱՆՋԿԼԱ	— համբավ, լուր
ԱԿԱՆԱՏ	— դռան փայտե բանալիի տեղ
ԱԿՀԱՎ, ԱԿԱՀԱՎ, ԱԿԱՀԵՑ	— կռահեց, իմացավ
ԱՂԵԿ	— լավ, գեղեցիկ
ԱՂԲԵՐՈԻԿ	— եղբայր, եղբայրիկ
ԱՂՈՒՐ	— փշրանք
ԱՄԱՆԱԹ	— հավատարմի մոտ պահ տված որևէ իր
ԱՄԱԳ	— աշխատանք
ԱՆԱԿԱՀ	— հանկարծակի, ոչ արթուն, ոչ զգաստ
ԱՆԳՅԱԼ	— անպետք, անգործունյա
ԱՆՀԻՄԱ	— անհասկացող
ԱՊՈՎ	— համար, հուսով
ԱՌ ՈՒ ԱՎԱՐ	— թալան, ավար, կողոպուտ
ԱՍՔԱՐ	— զինվոր, զորք
ԱՍԼԱՆ	— առյուծ
ԱՍՏԵՎՈՐ	— ապրող
ԱՎԱՏԱՍ	— հավատաս, հավատացիր
ԱՎԱ	— ահավասիկ, ահա
ԱՎՈՒՐ	— օրերից մի օր
ԱՐՈՒՆՔ	— արյուն
ԱՐՄԱՂԱՆ	— գեղեցկուհի, նրբագեղ, կույս, կին, (հատուկ անուն)
ԱՓՈ	— պապ, պապիկ
ԱՔՈՒՑ	— աքացի, քացի
ԲԱԴԱԼ	— փոխարեն
ԲԱԶԲԱՆԴ	— բազկին կապվող պահպանակ, նշան
ԲԱԼՔԻ	— գուցե
ԲԱՐՈՇ	— պղինձ (աման)
ԲՒՋ, ԲՒՃ, ՊՒՋ	— ապօրինի զավակ, ընկեցիկ
ԲԻՆՏ, ԲԻՆԴ	— փաթաթան, կապ
ԲԼԵԼ	— փուլ գալ
ԲՂՈԻՂ	— աման, քասա
ԲՆԱՏԱ	— գութանի մաս
ԲՈԻՄԲԱՐԱՔ	— վայելում
ԲՈԻՐՋ	— բերդ
ԲՈԻՍԱԹ, ԲՈՅ ՈՒ ԲՈԻՍԱԹ	— տեսք, մարդու արտաքինը
ԲԱԿԵՐ	— կանանց գանգուրներ, որ կախվում են դեմքի երկու կողմերից
ԳԱԶ	— չափ է
ԳԱՀԱ, ԳԱԽ Է	— ժամանակն է, ահա
ԳԱՂՏԻԿ	— գաղտնի
ԳԵՍՏԵՐ	— զգեստներ
ԳԻՆԱԱ	— դիտես
ԳՈՐԱ, ԳՅՈՐԱ	— չափ
ԳՈՓ, ԳՈՄՓ	— բռունցք
ԳՈԻՍԱՆ	— ժողովրդական երգիչ, աշուղ
ԳՅՈԼ	— լիճ
ԳՅՈԻՎԱ	— իբր թե
ԴԱՍՏՈԻՐ	— հրաման
ԴԱՎԱ	— ուղտ
ԴԱՐԲ	— զարկ, հարված
ԴԱՐԳԱՀ	— դարպաս
ԴԵՀ	— դեպի, կողմ
ԴԻՎԱՆՔ	— քրիստոնեական չար ոգիներ
ԴՂԵԿ	— դղյակ
ԴՈ՞Ր	— որտե՞ղ, ո՞ւր
ԴՈՐ	— այս անդամ, հերթ
ԴՆԴԵՂ	— ալիք
ԴՈԻՌ ԲԻՆԱԿ	— դուռը բռնած նստած
ԴՌԸՆԳՈԶԱ	— մանկական խաղ, փայտե լծակով
ԷԲԱՑ	— բացեց
ԷԲԱՐՁ	— բարձեց
ԷԲԵՐ	— բերեց
ԷԼԻՑ	— լցրեց
ԷԿՈ	— արի
ԷՀԱՆ	— հանեց
ԷՆԻ	— նա, այն
ԷՆ ԴԻԵՆ	— այն կողմից
ԷՌԱՆԴ	— երեկ չէ մյուս օրը
ԷՍԱ	— այս
ԷՍ ԴԻՐ	— այս անգամ
ԷՏՈԻ	— տվեց
ԷՐ	— այր, քարայր
ԶԱՊՈՒՆ	— նիհար
ԶԱԼՈԻՄ	— անսիրտ, անգութ
ԶԱԹԻ	— արդեն
ԶԱՂՋԿԱՆ	— աղջիկը, աղջկան
ԶԱՄԵՆ	— ամենը, բոլորը
ԶԱՆԳՈԻ	— ասպանդակ
ԶԱՐՄ	— ցեղ
ԶԱՐԶԱՄԲԱ	— նկուղ
ԶԱՏԱՆՑ	— հեռվից, առանձին
ԶԱՏԱՆԱԼ	— հեռանալ, առանձնանալ
ԶԷՆ	— այն, նա
ԶԷՆԻ	— նրան
ԶԷՆԵԼ	— զոհել
ԶԷՆՈՆԲՔ	— նրանք
ԶԷՏ	— այդ, դա
ԶԻՐ	— իր, յուր
ԶԻՐԱՆՑ	— իրանց, յուրյանց
ԶԻՆՔ	— ինքը, իրեն
ԶՄՐՈԻՐ	— զմուռս
ԶՄԵՐ	— մերը
ԶՄԵՆ	— ամենը, բոլորը
ԶՕՂՈՐՄԻ	— ողորմի
ԶՈՌՈՎ	— ուժով, բռնի
ԶՈՐԸՆԴԵՂ	— զորեղ
ԸԶՔՈ	— քո, քոնը
ԸԼՆԵՐ	— լիներ
ԸԼԼԻ	— լինի
ԸՌԸԿԵԼ, ԸՌԿԵԼ, ԸՌԿԱՎ	— խռովել, բարկանալ, բարկացավ
ԸՐԻՎ-ՃԸՐԻՎ	— խուճապ
ԹԱԹԱՑԻԿ	— ոտաբաց
ԹԱԼԵԼ	— գցել նետել
ԹԱԼԱԿ	— թակարդ
ԹԱԽԹԸՓԵԼ	— թափ տալով մաքրել
ԹԱՇԿԵԼ	— թոռոմել
ԹԱՍԼԻՄ	— հանձնում
ԹԱՍԻԲ	— պատիվ
ԹԱՌԲԵՂ, ԹԱՌԲԵԽ	— նորածիլ բեղ ունեցող
ԹԱՐԹԱՓ	— արտևանունք
ԹԱՄԲԱՀ	— պատվեր, ապսպրում
ԹԱՄԱՄ	— լրիվ
ԹԱՎԼԱ	— ախոռ
ԹԻՐԵՆ	— կողմից
ԹՈՆԴԻՐ	— թոնիր
ԹՈՐԿԵԼ	— թողնել
ԹՌՈԻՑԻՆ	— թռցրին
ԻԳԱ	— գա
ԻԴԱՐԵ, ԻԴԱՐԱ	— ապրուստ
ԻԼԻՆ	— լիքը, լեցուն, նաև՝ լցրեցին
ԻՇԽԵՆԱԼ	— համարձակվել
ԻՍԿԻ	— բոլորովին
ԻՎԵ	— ի վեր, վեր
ԻԴԱ	— այս, այդ
ԻՐԻՇԿԵԼ	— նայել, դիտել
ԻՐՈԻՐ	— իրար
ԼԱՃ	— տղա
ԼԱՈ	— որդի, որդյակ
ԼԱՎՈՏԵԼ	— տակը կեղտոտել
ԼԲՈԿ	— լերկ կաշի
ԼԸՄԱՆ	— լրիվ
ԼՄՆՑԱՎ	— լրացավ
ԼՆՈՒՄ	— լցնեմ
ԼՈԴՐԻԿ	— կտրիճ
ԼՈԻԼԱ	— խողովակ
ԼՈԲԿԵԼ, ԼԲՈԿԵԼ	— քերթել, պլոկեչ
ԼՑՈԻԿ	— լցված
ԽԱԲՐԱԲԵՐ	— լրաբեր
ԽԱԶԻՆԱ	— հարստություն, գանձ
ԽԱԹՐ, ԽԱԹԵՐ	— հարգանք
ԽԱԼԻՖ	— արաբական հոգևոր և աշխարհիկ իշխանության պետ միջնադարում
ԽԱՆԴԱԿ	— փոս
ԽԱՉ ՊԱՏԵՐԱԶՄԻՆ, ԽԱՉ ՊԱՏՐԱԶԻՆ, ԽԱՉ ՊԱՏՐԱՍՏԻ	— Հաղթության նշան
ԽԱՌԱՆ	— շունը կապելու շղթա
ԽԱՏԵԼ, ԽԱՏԱԼ	— վերջանալ
ԽԱՐՏԵՆ	— խարտյաշ, շագանակագույն
ԽԱՐՋ	— հարկ, միաժամանակ և հարմար
ԽԱՐՋԴԱՐ	— հարկատու
ԽԴԱՄ	— նաժիշտ
ԽԵԼԻ	— բավական
ԽԵՂ	— խեղանդամ, հաշմանդամ
ԽԵՂԵԼ	— խեղանդամ դարձնել, հաշմանդամ դարձնել
ԽԼՎԸԼԱԼ	— շարժվել
ԽՈՐՈՏ, ԽՈՐՈՏԻԿ	— սիրուն, սիրունիկ
ԽՈՌԵԼ	— կիսել
ԽՈՋԱ	— մեծ, ահագին, նաև՝ պատվավոր, հարուստ
ԽՈՅ	— ղոչ, էպոսում՝ քաջի իմաստով
ԾԵԾԿՈԻՔ	— ծեծ, հեծեծանք
ԾՌԱՆԱԿ	— խենթի պես, գժի պես
ԿԱԴԱՐ	— ինչքան
ԿԱԼԱՄ	— գրիչ
ԿԱԼԽԱՆ	— կապարճ, նետերը պահելու տեղ
ԿԱՆԳՐՀԱՆ	— կանգար բույսը հանող գործիք
ԿԱՊԱ, ԿԱԲԱ	— վերնազգեստ
ԿԱՊՈԻԿ	— կապած
ԿԱՐԻԲ	— օտարական, պանդուխտ
ԿԶԱՎ	— կռացավ
ԿԹԽԱ	— թաս, բաժակ
ԿԻՔ	— ամուր, պինդ, կիպ
ԿԽՏԱՐ	— եղջերու
ԿՆԴՈԻԿ, ԿՆԴԵԼ	— թրաշված, ածհլված, թրաշել, ածիլել
ԿՆԿՌԱԼ, ՉԸՆԿՌԱԼ	— Համառել, մի տեղում կանգնել
ԿՊՑՈԻ8	— կպցրեց
ԿՈ	— ահա
ԿՈՆԴՈԻՌԱ	— կոշիկ
ԿՈՊԱԼ	— կեռագլուխ ձեռնափայտ
ԿՈՌ	— գավազան
ԿՈՌԵԼ	— կորացնեի կոփել
ԿՌՈՒԿ	— կոռ, ծռված
ԿՈՏ	— ցորենի չափաման
ԿՈՒԶ	— սև գույնի մի կենդանի
ԿՈԻԴՈՒՄ	— ուժ
ԿՈԻՏ	— այրված հաց
ԿՈՒՇՏԻ	— ըմբշամարտ,
ԿՈՒՍ	— կույս
ԿՌՄԵԼ	— թմրել
ԿՌՉԱ է	— ճարճատել
ՀԱԲԿԱ	— խուրջին, պայուսակ
ՀԱԶՐԱՑ	— բարևի եղանակ
ՀԱԼԱՎ	— հագուստ
ՀԱԼՎՈՐ	— ծերունի
ՀԱՂԹՈՒԿ	— հաղթող, հաղթանդամ
ՀԱՆ ԳԸ	— ահավասիկ, ահա
ՀԱՎՈՒԶ	— ավազան
ՀԱՅՐԵՆԻ	— հայրենիք
ՀԱՐ	— մինչև
ՀԵԼԱԿ	— բաճկոնակ
ՀԵՂ	— անգամ
ՀԵԼՍՏԱ	— սվազ
ՀԵԾԵԼ	— հեծյալ
ՀԵՅՐԱՆ	— սիրահարություն, սիրելի
ՀԵՏ ԻՐ	— իր հետ
ՀԵՏ ԻՐԱՑ	— իրար հետ
ՀԵՐԱԳՈԻԹ	— հոր գութ ունեցող
ՀԵՐԱՀՈՏ	— հերագութ
ՀԼՀԼՈՑ	— հևք
ՀՄԴԱԹ	— օգնող, օգնություն
ՀՈԼՐԵԼ	— ոլորել
ՀՈՐԻ՞	— ինչո՞ւ
ՀՐԱՄԱ, ՀՐԱՄԵՆ	— ընթրիքի ժամանակ
ՁԻԱԹՈՂՍ	— ձիարշավ, խաղ
ՂԱԴԻՖԱ	— թավիշ
ՂԱԼԲ	— խարդախ, կեղծ
ՂԱՅԴԱ	— եղանակ, կերպ
ՂԱՓԼԱՆ	— վագր
ՂԱԲՈԻԿ, ՂԱՓՈՒԴ	— մահուդե վերնազգեստ
ՂԸՍՐԸՂ	— էգ ձի
ՃԱՄԲԱՐՈԻԿ	— գութանի մաս
ՃԱՆ	— վեգ
ՃԱՆԿ	— ափ, բուռ, ձեռքի մատներ
ՃԱՐ	— հնար, դեղ
ՃԻԺ	— երեխա
ՃԻՎ	— ոտքից մինչև ազդրը, նաև` հավ
ՃԼԸԽՏՐՒԿ	— ապտակ
ՃԽԱԼ	— ուրախությունից սիրտը զարկել
ՃՂՈՒՆ	— ճեղքած
ՃՂՈՐ	— օրորոց
ՃՃԵԼ	— հարստության մեջ լողալ
ՃՄԼՏԿԱԼ	— մարմինը կուչ ու ձիգ տալ`զարթնելուց հետո
ՃՆՃՆԱԼ	— թնգթնգալով լաց լինել
ՃՈԹ	— կողմ, ծայր
ՃՈՂԱԾ	— փորը պատռած
ՃՎԱԼ	— բղավել
ՄԱԳՅԱՐ	— միթե
ՄԸԳԱՐ	— միթե
ՄԱՐԴԱՆԱԿ	— տղամարդու նման
ՄԱՐԵ	— մայրիկ
ՄԱԺԵԼ	— շփել, շոյել
ՄԱՆԶԻԼ	— տարածություն
ՄԵՋԼԻՍ	— դիվան, Ժողով
ՄԶՐԱԽ	— նիզակ
ՄԺԻԿ	— մժեղ, մժղուկ
ՄԻԴ ՎԵ, ՄԻՏ ՎԵ	— մտքում, մտքի մեջ
ՄԼԵԼ	— խցկել, կոխել
ՄԿԱ	— հիմա, այժմ
ՄՈԼՎԱԾ	— ծեփված
ՄՈՒՇԱՄԲԱ	— նրբագործ ծածկոց
ՄՈՒՐԱԶ	— իղձ, փափագ
ՆԻԱԹ	— դեմքի խոժոռում, տխուր, թթված դեմք
ՆՍՏՈՒԿ	— նստած
ՆՇԱՆԳԱՀ	— նշած տեղը, նշանը
ՆՎԱԶՏՈԻՑ	— նվազեցրեց, կտրեց
ՇԱՌԱՎԻՂՔ	— ցոլք, շողք
ՇԱՎԱՐ	— ջութակ
ՇԱԼԱՊՈԻՏԻԿ	— գլխկոնծի
ՇԵՆՔ-ՇՆՈՐՀՔ	— շնորհք, ընդունակություն
ՇՆԻԿ	— ցորենի չափաման
ՇՈԳԵԼՔ	— բերանի գոլորշի
ՇՈՂՇԱԲԳԱՆ	— հարբած ժամանակ կարմրել
ՈՒՂՈՐԴ	— ճիշտ, ճշմարիտ
ՈՒՆԿ	— կանթ, ականջ
ՈԻՍՏ	— որտեղից
ՈՒՇԻԿ	— կամաց
ՈՍՏԻՆ	— անջրդի
ՉԱԳԸՐ	— վրան
ՉԱԹՈՒՆ	— ամբոխվել, կիտվել
ՉԱՓՐԱՐ	— չափող
ՉԵՎ	— մինչև
ՉԸՂՉԸՓԵԼ	— շարժել, թափ տալ
ՉԼՈՒՏ	— մերկ
ՉԸԼՏԵԼ	— մերկացնել
ՉԽՈԻԼ	— վտանգավոր
ՉԽՈ	— արդեն, թե չէ
ՉՈՒՐ	— մինչև
ՊԱԳԵԼ	— համբուրել
ՊԱԽՈՒՑ	— պախուրց
ՊԵԴԱՆԱԼ	— մեծանալ, խոշորանալ
ՊԼԸՆԳ	— փալանք, վագր
ՊՂԼՈՐԻ ՓՈՂ	— գալարափող
ՊՈՌԹԵԼ	— պատռել
ՊՌՈՒԿ	— շուրթ
ՊՌՏԵԼ	— քսել
ՊՈԻՃԻԿ	— գուլպա
ՋԱՆԴԱՔ	— դիակ
ՋԻՆ-ՋԱՆԱՎԱՐ	— դև-գազան
ՋԻՐԻՆԴ	— ձիարշավ
ՋՐԲԱՔԱՐ	— փորձաքար
ՋԶՄԱ	— երկարաճիտ կոշիկ
ՋՈԿ	— առանձին
ՋՈՋ	— մեծ
ՋՈՒԱԲ, ՋՈՒՂԱԲ	— լուր, համբավ
ՋՈՒԽՏ	— զույգ
ՌԱՆԴԱ	— փայտահարթիչ գործիք
ՌԱՍՏ	— հանդիպում
ՍԱԼԱՄԱԹ	— ողջ-առողջ
ՍԱԿՌԻ	— կողովի մեծ տեսակ, քթոց
ՍԱՐԱՅ	— պալատ
ՍԱՐ-ՍՈՒՐԲ	— մաքուր, հստակ սերսուփ
ՍԵՆԵԿ	— սենյակ
ՍԵՅՐ–ՍԵՅՐԱՆ	— պտույտ, ման գալ
ՍԹՐԵԼ	— տեղավորվելով հանգստանալ
ՍԻԼԱ	— ապտակ
ՍԻՆՈՐ	— սահման
ՍՄԲՈՒԼ ԳԴԱԿԱՆ	— գլխաբաց՝ հարբած ժամանակ
ՍՈԼ	— չուստ (ոտնաման)
ՍՊԱՆՈԻԿ	— սպանված
ՍՏԱ	— այստեղ
ՎԱԴԱ	— Ժամանակ
ՎԱԶԻՐ	— թագավորության երկրորդ անձը
ՎԱՔԻԼ	— փոխանորդ
ՎԵ	— ի վեր, վեր
ՎԵՐԱՆ	— ավեր, ավերակ
ՎԵՐԱՆ	— վրա, վրան
ՎԵՐՔԵՐ	— վայրեր, տեղեր
ՎԵՐՈՒՑ	— վերցրեց
ՎԵՑԿԻԻ	— վեց զույգով լծված գութան
ՎժժԱԼ	— բարձրաձայն լաց լինել
ՎԻՐՈԻ, ՎԵՐՈՒ	— վայրի, վայրենի
ՎԻ՞ՆՉԸԽ	— ինչպե՞ս, ո՞նց
ՎՐՎԱՆՔ	— գզած բրդի տականք, մնացորդ
Տ’	— պիտի
Տ’ԱՍԵՄ	— պիտի ասեմ
ՏԻ	— պիտի
ՏԻ ՏԱՄ	— պիտի տամ, պետք է տամ
ՏԻ ՏԱՍ	— պիտի տաս, պետք է տաս
Տ’ԸԼՆԻ	— պիտի լինի
ՏԻԼ	— ցեխ
ՏԻՐՎԱՆՔ	— տերեր
ՏՂԱՄԵՐ	— հղի կին
ՏՌՉԻԿ, ՏՌՃԻԿ	— տրտինգ, ցատկոտել
ՏՓԵԼ	– ծեծել
ՔԱԿԵԼ	— քանդել
ՔԱՆՑ	— քան
ՔԱՐԳԱՀ	— իլիկ
ՔԱՖԿԻՐ	— միջնադարյան երաժշտական գործիք
ՔԱՖՐ, ՔԱՖՈԻՐ	— անգութ, անխիղճ
ՔԵ	— քեզ
ՔԵՆԵ	— քեզնից
ՔԵՌՄԵՐ	— մորեղբայր
ՔԻՐԲԻԹ	— լուցկի
ՔՈԹԱԿ	— դիակը նստած, կենդանի ցույց տալու փորձ
ՔՈՇՔ	— պալատ
ՔՈՔ	— արմատ
ՔՈՓԱԿ	— շնաբարո մարդ
ՔՌՈՑ	— հոգեվարքի հռնդյուն
ՔՈԻՆՋ	— անկյուն
ՔՈԻՇՏԻ	— տես՝ կուշտի
ՔՈԻՐՍԻ	— աթոռ, թոնրի ծածկ
ՔՐՎԵԼ, ՔՎՐԵԼ	— հայհոյել
ՓԱԼԱՍԱՆՔ	— անպետք
ՓԱՐԴԱ	— վարագույր
ՓԱԹԻՇԱՀ	— թագավոր, արքա
ՓԱՀԼԵՎԱՆ	— քաջ, հերոս, դյուցազն
ՓԼՈԻՑ	— փլցրեց
ՓՈՂՊԱՏ	— օձիք
ՓՈԻԼ	— թումբ
ՓՍԼԻՔ	— բերանի ջուր
ՓՐՉՈՏ	— մազոտ
ՓՌՈՂՔ	— զայրույթ, ցասում
