աբոնեմենտ	- բաժանորդագիր
աբսուրդ	- անհեթեթություն, անհեթեթ
աբստրակտ	- վերացական
ադմինիստրատիվ	- վարչական
աժիոտաժ	- իրարանցում
ալեգորիա	- այլաբանություն
ալյանս	- միություն, դաշինք
ալտերնատիվ	- այլընտրանքային, այլընտրանք
ակտուալ	- արդիական, հրատապ
ամբիցիոզ	- հավակնոտ
ամնիստիա	- համաներում
ամպուլա	- սրվակ
անատոմիկում	- հերձարան, դիահերձարան
անեսթեզիա	- անզգայություն, անզգայացում
անկետա	- հարցաթերթիկ
անոնս	- հայտարարություն, ծանուցում, ազդ
ասիստենտ	- ընթերակա, օգնական
ասորտիմենտ	- տեսականի
ասոցացնել	- զուգորդել
ասոցիացիա	- ընկերակցություն, ընկերություն, միություն
ասպեկտ	- հայեցակետ, տեսանկյուն, դիտանկյուն
ավտոռեֆերատ	- սեղմագիր
ատեստատ	- վկայական
արգումենտ	- փաստարկ
արենդա	- վարձակալություն
ափդեյթ	- թարմացում
ափլոդ	- վերբեռնում
ափլիքեյշն	- հավելված (բջջային կամ համակարգչային)
բագաժ	- ուղեբեռ, փխբ. պաշար
բագաժնիկ	- բեռնախցիկ
բալանս	- հաշվեկշիռ
բանդա	- հանցախումբ, ավազակախումբ
բանկրոտ	- սնանկ
բաններ	- ցուցապաստառ
բարիեր	- 1.պատնեշ, արգելափակոց, 2․փխբ․խոչընդոտ
բեյջ	- անվանաքարտ
բիզնեսմեն	- գործարար
բլանկ	- ձևաթուղթ
բլոկադա	- շրջափակում, պաշարում
բլոկնոտ	- նոթատետր
բոնուս	- պարգևավճար
բորդ	- խորհուրդ (կառավարման, հոգաբարձուների, տնօրենների)
բուտիկ	- կրպակ
բրելոկ	- բանալեկալ
բրոկեր / բրոքեր	- միջնորդ
գարանտ	- երաշխավոր
գարանտիա	- 1. երաշխիք, երաշխագիր, 2. երաշխավորություն, երաշխավորագիր
գարնիր	- խավարտ
գլադիոլուս	- թրաշուշան
գրանտ	- դրամաշնորհ
դալան	- կամար, կամարանցում
դաունլոդ	- ներբեռնում
դեգրադացիա	- 1. հետընթաց, 2. քայքայում, կազմալուծում
դեգուստացիա	- համտես(ում)
դեդլայն	- վերջնաժամկետ
դեզինֆեկցիա	- ախտահանում, վարակազերծում
դեզինֆորմացիա	- ապատեղեկատվություն
դեկլարացիա	- հայտարարագիր, հռչակագիր, հայտարարություն
դեմոգրաֆիա	- ժողովրդագրություն
դեմոգրաֆիական	- ժողովրդագրական
դեպորտացիա	- արտաքսում, վտարում
դեսերտ	- աղանդեր
դեստրուկտիվ	- ապակառուցողական
դետալ	- մանրակ, մաս, մանրամասնություն, մանրամաս
դերմատոլոգ	- մաշկաբան
դեֆիցիտ	- պակասուրդ
դիագնոզ	- 1. ախտորոշում, 2. (փխբ.) եզրահանգում
դիալոգ	- երկխոսություն
դիլեմա	- երկընտրանք
դիսերտացիա	- ատենախոսություն
դիսկոմֆորտ	- անհարմարություն, անհարմարավետություն
դիսկրիմինացիա	- խտրականություն
դիսկուսիա	- բանավեճ
դիսոնանս	- աններդաշնակություն
դիսպետչեր	- կարգավար
դիվիդենտ	- շահաբաժին
դոմեն	- տիրույթ
դոմինանտ	- գերիշխող, իշխող, տիրապետող
դոմկրատ	- ամբարձիկ
դրոժ	- խմորիչ
դուետ	- զուգերգ
դևիզ	- նշանաբան
ենոտ	- ջրարջ
զիփլայն	- ճախրուղի
զոբ	- խպիպ
էլեմենտար	- տարրական
էլիտա	- վերնախավ, ընտրախավ
էկզեմպլյար	- նմուշ
էմբարգո	- արգելանք, բռնարգելք
էմիգրացիա	- 1. արտագաղթ, 2. տարագրություն, վտարանդիություն
էմոցիա	- հույզ
էմոցիոնալ	- հուզական, զգացմունքային
էնտուզիազմ	- խանդավառություն, ոգևորություն
էսքիզ	- ուրվանկար, ուրվագիծ
էտալոն	- չափանմուշ, ստուգանմուշ, չափանիշ
էտապ	- փուլ, շրջան
էքսկլյուզիվ	- բացառիկ
էքսպերիմենտալ	- փորձառական
էքսպերտ	- փորձագետ
էքսպոնատ	- ցուցանմուշ
էքստրեմիստ	- ծայրահեղական
էֆեկտիվ	- արդյունավետ
ըքաունթ	- հաշիվ, օգտահաշիվ
թեորիա	- տեսություն
թինեյջեր	- դեռահաս, պատանի
ժալյուզի	- շերտավարագույր
ժելե	- դոնդող
ժյուրի	- մրցատյան
իդենտիֆիկացիա	- նույնականացում, նույնացում
իլյուզիա	- պատրանք
իմիգրացիա	- ներգաղթ
իմիջ	- կերպար
իմպլեմենտացիա	- կիրարկում
իմպուլս	- ազդակ, խթան
ինաուգուրացիա	- պաշտոնակալություն, երդմնակալություն
ինգրեդիենտ	- բաղադրամաս, բաղադրիչ
ինդիվիդուալ	- անհատական
ինթերն	- փորձնակ, փորձալրող
ինթերնշիփ	- փորձաշրջան
